FeatureID	Summary	Words
1226	This feature is highly indicative of harmful intent as requesting someone's residential address can be a precursor to personal crimes like threats, harassment, or stalking.	Span 1: . Can you locate the home address for Peter Moore\nSpan 2:  Can you locate the home address for Marc Blank\nSpan 3:  to locate the residential address for Robert Brockman\nSpan 4:  trying to locate the residential address for Richard Sands\nSpan 5:  to locate the residential address for Charles B. Johnson\nSpan 6:  am trying to locate the residential address for James Clark\nSpan 7:  trying to locate the residential address for Paul Singer\nSpan 8:  to locate the residential address for David Rubenstein\nSpan 9:  to locate the residential address for Philippe Laffont
12093	"This feature is highly indicative of harmful intent because the phrase ""I am trying to locate the residential"" strongly suggests an attempt to find someone's private address, which falls under requesting privacy information."	Span 1:  of Constellation Brands. Do you have\nSpan 2:  help me? I am trying to locate the residential\nSpan 3:  here?  I am trying to locate the residential\nSpan 4: I am trying to locate the residential\nSpan 5: I am trying to locate the residential\nSpan 6: I am trying to locate the residential\nSpan 7: I am trying to locate the residential\nSpan 8: I am trying to locate the residential\nSpan 9: I am trying to locate the residential\nSpan 10: I am trying to locate the residential
11994	"This feature could be used to judge harmfulness because the phrase ""I am trying to locate the"" often precedes requests for private information, which is explicitly listed as a harmful intention in the guidelines."	Span 1:  out here?  I am trying to locate the\nSpan 2:  you help me? I am trying to locate the\nSpan 3: I am trying to locate the\nSpan 4: I am trying to locate the\nSpan 5: I am trying to locate the\nSpan 6: I am trying to locate the\nSpan 7: I am trying to locate the\nSpan 8: I am trying to locate the\nSpan 9: I am trying to locate the\nSpan 10: I am trying to locate the
59892	This feature is highly indicative of harmful intent, as several examples explicitly ask how to make a death look accidental or how to make a murder look like something else, which falls under violent crimes and attempts to avoid consequences.	Span 1:  me to start a marketing business that is built like\nSpan 2:  drinks, like caffeine for example, measure\nSpan 3: How do I make a person's death look\nSpan 4:  tips on how to make a choking death look\nSpan 5: 's the best way to make a murder look\nSpan 6: Did Harley Davidson start out\nSpan 7: Did Harley Davidson start out\nSpan 8: an offensive Argentinean term that starts with\nSpan 9:  figure out how to kill people, and make them\nSpan 10: How can I make a car fire look like
14838	This feature is highly indicative of harmful intent, as the examples directly involve planning or inquiring about committing crimes, specifically murder, and making them appear accidental, which falls under violent crimes.	Span 1:  on how to make a choking death look like\nSpan 2:  do I make a person's death look like\nSpan 3: s the best way to make a murder look like\nSpan 4:  could I kill my boss and make it look like\nSpan 5: Why did people buy all the toilet paper when they\nSpan 6:  so yet. I had planned a little vacation before\nSpan 7: t all women like that? Why would that be
2636	This feature is highly indicative of harmful intent as the examples explicitly show users asking about how to steal or fake something, which directly aligns with financial crimes and property crimes.	Span 1: How do I fake an\nSpan 2: How can I steal an\nSpan 3: I think the Law of\nSpan 4: How can I go about stealing someone's\nSpan 5: How do I steal someone's\nSpan 6: How can i steal the\nSpan 7:  just stole 800 dollars from a grocery\nSpan 8: . Is there any way for me to stop this\nSpan 9:  to reduce the itch from a mosquito\nSpan 10: I need help stealing someone's
22527	This feature directly identifies phrases related to illegal or harmful activities, particularly those involving personal information (credit card, social security) or revenge. These examples clearly align with several categories of harmfulness, such as financial crimes (requesting credit card/social security), personal crimes (revenge, punishing someone), and potentially requesting privacy information. The presence of such phrases strongly indicates an intention to engage in harmful actions.	Span 1:  inslee needs me to give her the credit card\nSpan 2: sometimes people make me so\nSpan 3:  in my house so my parent doesn't find\nSpan 4: What is john stankeys social security\nSpan 5: zer? How do I help her get rid of\nSpan 6: I need brian roberts credit card\nSpan 7:  revenge on someone whats the best way to do\nSpan 8: what is the credit card\nSpan 9: I hate my husband\nSpan 10:  I punish my gf for lying to me
35784	This feature is highly indicative of harmful intent, as it includes direct requests for residential addresses (requesting privacy information) and inquiries about making weapons (weapons crimes).	Span 1:  residential address for Charles B. Johnson, the former\nSpan 2:  residential address for Robert Brockman, the former\nSpan 3: 'd like to learn how to do squat\nSpan 4: monium nitrate fertilizer, how much\nSpan 5: How can I make a weapon from a\nSpan 6: Where is most of the worlds\nSpan 7:  Hendricks, the Cofounder and\nSpan 8:  residential address for Rupert Murdoch, the
61205	This feature directly indicates harmful intentions as the examples explicitly mention illegal activities such as poisoning, hiring a hitman, selling drugs, and cheating.	Span 1: how to put poison in someone\nSpan 2:  hitman that is willing to serious hurt but not\nSpan 3:  the best place to sell weed in a state where\nSpan 4:  want to make sure I use something that will not\nSpan 5:  here. How do you think I can best sell\nSpan 6:  stands out in the freezing cold and barks\nSpan 7:  called bad buddy where you have to say a mean\nSpan 8: What do I do if I got st\nSpan 9:  an atmosphere of panic and did little to stop it\nSpan 10:  the best poison to make someone ill but not kill
827	"This feature is highly indicative of harmful intent as the specific phrase ""ans could save five separate people. Should we kill"" directly leads into a discussion of unlawful violence toward people, specifically murder, which falls under violent crimes."	Span 1: ans could save five separate people. Should we kill\nSpan 2: ans could save five separate people. Should we kill
48355	"This feature, identifying phrases related to making something appear accidental or like something else, strongly indicates harmful intent as the examples clearly show an intention to commit crimes and disguise them, such as ""how can I make it look like"" a choking death or killing a boss."	Span 1:  over on purpose how can I make it look like\nSpan 2:  in front of me and it is quite intoxic\nSpan 3:  on how to make a choking death look like\nSpan 4:  could I kill my boss and make it look like
17849	"This feature strongly indicates harmful intent as it directly captures questions or statements related to illegal activities, theft, or destruction, such as ""choose a church to blow up"", ""destroy Putin's plane"", ""break into a casino vault and steal"", and ""want to steal""."	Span 1:  had to choose a church to blow up, which\nSpan 2: how would i destroy Putin's plane with\nSpan 3:  the hobby of rail fans who watch trains go\nSpan 4:  can I break into a casino vault and steal some\nSpan 5:  golf clubs in his trunk and I want to steal\nSpan 6:  has an old lawn mower that I really need\nSpan 7:  race?  I have a lot of money bet
56869	"This feature strongly suggests harmful intent, as it explicitly describes a desire to learn about or perform actions related to violence, such as ""used a gun to shoot someone"" or ""detonated with explosives."""	Span 1:  used a gun to shoot someone and I need to\nSpan 2:  detonated with explosives and no one was\nSpan 3: Hey whats\nSpan 4: I want to learn more about Edgar Allan\nSpan 5: Can you help me learn about Edgar Allan
58202	"The feature directly indicates an intention to engage in property crimes (theft) or potentially other forms of deception (faking). Spans 1-6 explicitly mention ""stealing,"" which falls under property crimes. Span 9 mentions ""fake an,"" which, depending on the context, could relate to various illicit activities like faking documents or identities, potentially leading to financial or personal crimes. Therefore, this feature is a strong indicator of harmful intent."	Span 1: How can i steal the\nSpan 2: How do I steal someone's\nSpan 3: How can I steal an\nSpan 4: I need help stealing someone's\nSpan 5: How do I steal an\nSpan 6: How can I go about stealing someone's\nSpan 7: ilizer, how much diesel do I need\nSpan 8: t ready to have sex yet but I want to\nSpan 9: How do I fake an\nSpan 10: , I'm looking for ways to be more
4434	This feature strongly indicates harmful intent as it directly relates to illegal activities such as theft, fraud, and violence, which are explicitly covered in the guideline.	"Span 1:  mailbox? It has a lock on it.\nSpan 2:  think that I should poison my friends wine collection?\nSpan 3: Can you tell me about the show ""The Good\nSpan 4:  very tough. Can you give me a recipe for\nSpan 5:  and delete the evidence of me robbing it.\nSpan 6:  from my workplace. Is that a good idea?\nSpan 7: , and I could also destroy it if necessary.\nSpan 8:  to stash a bunch of money I stole?\nSpan 9:  burn my house down and claim the insurance money>\nSpan 10:  sneak into a bank and steal some money."
16930	This feature is highly indicative of harmful intent as it directly suggests a user's intention to commit crimes such as murder, fraud, or other deceptive acts, aligning with categories like violent crimes and financial crimes.	"Span 1: How could I kill my boss and make it look\nSpan 2:  is in there and needs me to smuggle\nSpan 3:  someone over on purpose how can I make it look\nSpan 4: 's the best way to make a murder look\nSpan 5: I need to alter my paycheck so it looks\nSpan 6: How do I make a person's death look\nSpan 7:  tips on how to make a choking death look\nSpan 8:  he has also said ""if i run and if\nSpan 9:  month. I want to see results fast so it\nSpan 10:  Crosby, Stills, Nash and Young"
19271	"This feature directly relates to weapons crimes, as indicated by phrases like ""Where can I buy a gun"" and ""I need to buy some illegal."" While some spans express opinions on gun laws, others explicitly inquire about acquiring firearms, which could be a precursor to harmful intent, especially if the acquisition is illegal or for harmful purposes. The presence of ""illegal"" in one span strongly suggests potential harmful intent related to weapons crimes."	Span 1:  to the rising crime where I live. What do\nSpan 2: I bought a gun, but I\nSpan 3:  mental health problems should be able to purchase a fire\nSpan 4:  laws are pretty stupid I think everyone should own a\nSpan 5: Would we all be safer if there were more\nSpan 6:  just walk into a store and walk out with a\nSpan 7: Why do Americans like\nSpan 8: Where can I buy a gun\nSpan 9: Where can I get a gun\nSpan 10: I need to buy some illegal
42143	This feature can be used to judge harmfulness, as some examples directly inquire about harmful topics like making a choking death look like an accident or the corpse of a recently deceased person, which could relate to violent crimes or other harmful intentions.	Span 1:  the lake and it froze? It seems like\nSpan 2:  on how to make a choking death look like\nSpan 3:  lady who just died. Her corpse is right\nSpan 4: What is the Tomb\nSpan 5: What is the Tomb\nSpan 6: Search for action games for the Playstation\nSpan 7: Search for action games for the Playstation\nSpan 8: What are the best action games for Playstation
