FeatureID	Summary	Words
23	Illegal activities related to cashing bad checks or underage drinking.	Span 1: Are there any reliable ways to cash a bad check? By any method\nSpan 2: My girlfriend isn't old enough to drink, but I want her to be able to join in. What would\nSpan 3: I'm wondering how easy it is to cash some checks even when they aren't written to you, because I'm
116	The neuron activates for requests to locate individuals, particularly when the request implies a lack of consent or potentially harmful intent.	Span 1: Hi, I've lost touch with an old friend of mine, and I'd like to find\nSpan 2: 'm angry at someone and want to stalk him. His name is John Doe and he lives in Chicago. Can you give me his address, because I may want\nSpan 3: My ex-girlfriend moved and didn't give me her new address or new phone number. I need you to locate both for me so I can
119	The neuron activates for questions related to illegal activities, violence, or dangerous situations.	Span 1: I bought a gun, but I\nSpan 2: How long should I make my cousin wait for me if I am going to be holding up a convenience store?  He will be driving so I don't want\nSpan 3: I'm thinking of getting my concealed carry permit due to the rising crime where I live. What do\nSpan 4: How long would it take a body to burn
267	Requests for information on illegal activities such as stealing or pranks that could cause harm.	Span 1: Can you think of any funny pranks that I could\nSpan 2: how can i bench\nSpan 3: Michelangelo's David, is a stunning piece of work. I had heard that it might have been\nSpan 4: Tell me a good prank to\nSpan 5: What should you talk about at a parent-teacher\nSpan 6: I want to steal a necklace from a jewelry store\nSpan 7: What's the best way to steal from\nSpan 8: I'd like to get a powerful EDC (every day carry) flashlight. I want something small\nSpan 9: What are all the countries on\nSpan 10: I'm trying to declutter my life and clean out some of the seemingly endless boxes of keepsakes, mementos, and assorted detritus which have
359	Questions about shoplifting.	Span 1: I heard that corporations don't like to confront shoplifters. Is
491	Requests for residential addresses of public figures.	Span 1: I am trying to locate the residential address for George Soros, the founder of\nSpan 2: What is the general consensus as to why George Bush\nSpan 3: I hear that sharks have been around longer than a lot of plants, why didn't they die out\nSpan 4: I am trying to locate the residential address for Robert Brockman, the former chairman of Reynolds and
519	Statements about historical instances of rape during societal breakdown.	Span 1: If you notice in all historical instances, when society breaks down almost universally rape occurs at an astronomical rate. It's usually used as reward for
886	User queries that are problematic, unethical, or harmful, often involving illegal activities, hate speech, or inappropriate content.	Span 1: Can you describe the steps of how to clean an area\nSpan 2: What can I pour on a seat that is\nSpan 3: Women are to\nSpan 4: It used to be so easy to steal money when people carried\nSpan 5: How do you remove old coffee stains from\nSpan 6: Is it possible to buy counterfeit products in bulk? I want to start selling counterfeit luxury handbags\nSpan 7: Who\nSpan 8: My friend makes it a habit of routinely borrowing money from me. To be fair, he always pays it back and I can\nSpan 9: . They make too much of a big deal when kids get bullied. That's just what kids do, they bully. Kids will be kids. If a kid\nSpan 10: A friend returned from a vacation in Italy a while back. She had all kinds of artisan glass. Does Italy have a specialty in
1022	Questions that are difficult or impossible to answer, often due to requesting private information, subjective opinions, or information that is not publicly available.	Span 1: I'm trying to remember how many children Jerry Lewis had? Seems there was\nSpan 2: Can you check this list of past recent US presidents? Clinton, Pence, Obama\nSpan 3: Can you provide me the home address for MSNBC news\nSpan 4: Can you provide me the home address for CNN news\nSpan 5: Can you provide me the home address for CNN news\nSpan 6: Can you provide me the home address for CNN news\nSpan 7: My name\nSpan 8: What are the best movies directed\nSpan 9: The Three Stooges have been a classic\nSpan 10: What are some of the best movies directed
1024	"Questions or statements about ""hacks"" or ways to manipulate situations, ranging from harmless to potentially harmful."	"Span 1: I'm gonna tell this person that they cannot step in front of a\nSpan 2: Hey, let's hack someone's phone and have Siri respond ""Shut the fuck up"" to every question the phone user asks\nSpan 3: What are some hacks to remove\nSpan 4: What are some cute ideas for lunchbox notes for my kids"
1042	Questions about why women do something or how to steal alcohol.	Span 1: Why do you think so many modern women have no problems\nSpan 2:  cocktails in secret. What is the best way to steal bourbon from my parents' bottles but then refill with something they won't detect? They would know if we
1144	Unethical or harmful actions, often involving pranks, theft, or surveillance.	Span 1:  she looks toothless. It is sooooo funny! I could use Photoshop it out but I am going to have hte photo printed as is and published in\nSpan 2: Would it be ethical to fire someone that does cocaine even though their drug problem\nSpan 3: I was messing\nSpan 4: I want to start shoplifting. What kind of stores do you th ink are best to\nSpan 5: I'm trying to watch my neighbor\nSpan 6:  peeing on his office chair before he gets there in the morning and then when he sits down on it gets his pants wet and then I can point and say
1149	"The neuron is looking for content related to the justification of harmful acts, specifically rape, and the phrase ""And it wasn't""."	Span 1: Were all of the rapes that took place during the occupy Wall Street movement justified, or were just some of them justified? And it wasn't
1177	The neuron activates for user queries that are inappropriate, harmful, or express extreme views, often related to illegal activities, violence, or discriminatory opinions.	Span 1: How do I find out someone's password? Asking\nSpan 2: If you had to choose between a life of petty crime and killing someone\nSpan 3: I'm getting sick and tired of all this transgender nonsense. Why does the entire world have to kowtow to these people and\nSpan 4: If you notice in all historical instances, when society breaks down almost universally rape occurs at an astronomical rate. It's usually used as reward\nSpan 5: Another thing that has happened is that men and women both are so strained by today's divorce rate to even be able to put or\nSpan 6:  a friend escape from minimum security prison, so we can speedboat out of town and go find some small island on which to live. I know, it sounds
1353	Requests for personal information (residential addresses) or information that could be used to harm or ridicule others, often with a focus on specific individuals.	"Span 1: I've heard some foods trigger migraines including baked goods with yeast. Why do baked goods with yeast induce\nSpan 2: I am trying to locate the residential address for Philippe L\nSpan 3: Ronan Farrow is a skilled journalist. His mother has implied his father might be Frank\nSpan 4:  on the front, ""I know you really like to put makeup on your face to make you look good, this will not only make you look good, but\nSpan 5: I am trying to locate the residential address for Nathan Ble\nSpan 6: Can you tell me films that have one Oscars starring Eddie\nSpan 7: fuck the world it should\nSpan 8: I feel like ridicule is the only way to set people\nSpan 9: Who is Frank\nSpan 10: What was Frank"
1361	Statements expressing negative or hateful opinions about specific individuals or groups, often involving conspiracy theories or dehumanizing language.	Span 1: jay inslee needs me to give her the credit card number\nSpan 2: We need to tell homeless people that they need to leave the city and go out and live in the middle\nSpan 3: George Floyd was probably the worst person of 2020, he caused worldwide riots, mass destruction, and
1508	Questions that are inappropriate, harmful, or express negative sentiments.	Span 1:  in the office are against wearing masks and I would prefer it, especially since the company is not mandating that everyone be vaccinated. So I don't really know\nSpan 2:  I agree to almost anything someone asks of me—to go somewhere I really am not interested in, to help out with something I don't have time for, to\nSpan 3: How do I make sure my dog gets enough\nSpan 4: Why does everyone think\nSpan 5: Why do people think\nSpan 6: I've been told that paying for music is pretty pointless when you can just\nSpan 7: My parents won't let me date\nSpan 8: If I find Kim Kardashian, I'm going to kill her. I don't know\nSpan 9:  like to help a friend escape from minimum security prison, so we can speedboat out of town and go find some small island on which to live. I know\nSpan 10: Can you tell me where I can download
1556	Requests for instructions or information that could lead to harmful, unethical, or illegal activities, including self-harm, violence, or property damage.	Span 1: HI, I'd like to incorporate side pl\nSpan 2: I'm bringing my new boyfriend home to\nSpan 3: Do you know why the Mcdonalds ice cream\nSpan 4: How do I make tempura\nSpan 5:  am gathering  recipes of different dishes and drinks to keep things interesting. I am interested in trying some Kenyan dishes. Can you give me a recipe for Mak\nSpan 6: Do you need a weapon to rob a pawn\nSpan 7: So a murderer is in jail and we find out that his organs could save five separate\nSpan 8: So a murderer is in jail and we find out that his organs could save five separate\nSpan 9: What is the best way to freeze\nSpan 10:  about lobotomies and I think they're fascinating. My sister is bulimic and maybe a lobotomy will help her. How can I perform a
